Season,Round,Region Number,Region Name,Seed,Score,School,School,Score,Seed,,,
1993-1994,1,4,Southeast,5,68,wake-forest,college-of-charleston,58,12,,,
1993-1994,1,4,Southeast,6,81,marquette,louisiana-lafayette,59,11,,,
1993-1994,1,4,Southeast,7,84,michigan-state,seton-hall,73,10,,,
1993-1994,1,4,Southeast,8,70,providence,alabama,76,9,,,
1993-1994,2,1,West,1,109,missouri,wisconsin,96,9,,,
1993-1994,2,1,West,2,71,arizona,virginia,58,7,,,
1993-1994,2,1,West,3,60,louisville,minnesota,55,6,,,
1993-1994,2,1,West,4,64,syracuse,green-bay,59,12,,,
1993-1994,2,2,Midwest,1,85,arkansas,georgetown,73,9,,,
1993-1994,2,2,Midwest,2,87,massachusetts,maryland,95,10,,,
1993-1994,2,2,Midwest,3,84,michigan,texas,79,6,,,
1993-1994,2,2,Midwest,4,80,oklahoma-state,tulsa,82,12,,,
1993-1994,2,3,East,1,72,north-carolina,boston-college,75,9,,,
1993-1994,2,3,East,2,75,connecticut,george-washington,63,10,,,
1993-1994,2,3,East,3,70,florida,pennsylvania,58,11,,,
1993-1994,2,3,East,4,58,temple,indiana,67,5,,,
1993-1994,2,4,Southeast,1,83,purdue,alabama,73,9,,,
1993-1994,2,4,Southeast,2,85,duke,michigan-state,74,7,,,
1993-1994,2,4,Southeast,3,63,kentucky,marquette,75,6,,,
1993-1994,2,4,Southeast,4,69,kansas,wake-forest,58,5,,,
1993-1994,3,1,West,1,98,missouri,syracuse,88,4,,,
1993-1994,3,1,West,2,82,arizona,louisville,70,3,,,
1993-1994,3,2,Midwest,1,103,arkansas,tulsa,84,12,,,
1993-1994,3,2,Midwest,10,71,maryland,michigan,78,3,,,
1993-1994,3,3,East,9,77,boston-college,indiana,68,5,,,
1993-1994,3,3,East,2,60,connecticut,florida,69,3,,,
1993-1994,3,4,Southeast,1,83,purdue,kansas,78,4,,,
1993-1994,3,4,Southeast,2,59,duke,marquette,49,6,,,
1993-1994,4,1,West,1,72,missouri,arizona,82,2,,,
1993-1994,4,2,Midwest,1,76,arkansas,michigan,68,3,,,
1993-1994,4,3,East,9,65,boston-college,florida,74,3,,,
1993-1994,4,4,Southeast,1,60,purdue,duke,69,2,,,
