Season,Round,Region Number,Region Name,Seed,Score,School,School,Score,Seed,,,
1998-1999,1,3,South,3,69,st.-john's-(ny),samford,43,14,,,
1998-1999,1,3,South,4,72,ohio-state,murray-state,58,13,,,
1998-1999,1,3,South,5,53,ucla,detroit-mercy,56,12,,,
1998-1999,1,3,South,6,108,indiana,george-washington,88,11,,,
1998-1999,1,3,South,7,58,louisville,creighton,62,10,,,
1998-1999,1,3,South,8,61,syracuse,oklahoma-state,69,9,,,
1998-1999,1,4,West,1,91,connecticut,utsa,66,16,,,
1998-1999,1,4,West,2,69,stanford,alcorn-state,57,15,,,
1998-1999,1,4,West,3,74,north-carolina,weber-state,76,14,,,
1998-1999,1,4,West,4,94,arkansas,siena,80,13,,,
1998-1999,1,4,West,5,77,iowa,uab,64,12,,,
1998-1999,1,4,West,6,75,florida,pennsylvania,61,11,,,
1998-1999,1,4,West,7,63,minnesota,gonzaga,75,10,,,
1998-1999,1,4,West,8,59,missouri,new-mexico,61,9,,,
1998-1999,2,1,East,1,97,duke,tulsa,56,9,,,
1998-1999,2,1,East,2,63,miami-(fl),purdue,73,10,,,
1998-1999,2,1,East,3,54,cincinnati,temple,64,6,,,
1998-1999,2,1,East,4,51,tennessee,southeast-missouri-state,81,12,,,
1998-1999,2,2,Midwest,1,74,michigan-state,mississippi,66,9,,,
1998-1999,2,2,Midwest,2,58,utah,miami-(oh),66,10,,,
1998-1999,2,2,Midwest,3,92,kentucky,kansas,88,6,,,
1998-1999,2,2,Midwest,13,85,oklahoma,charlotte,72,5,,,
1998-1999,2,3,South,1,81,auburn,oklahoma-state,74,9,,,
1998-1999,2,3,South,2,75,maryland,creighton,62,10,,,
1998-1999,2,3,South,3,86,st.-john's-(ny),indiana,61,6,,,
1998-1999,2,3,South,4,75,ohio-state,detroit-mercy,44,12,,,
1998-1999,2,4,West,1,78,connecticut,new-mexico,56,9,,,
1998-1999,2,4,West,2,74,stanford,gonzaga,82,10,,,
1998-1999,2,4,West,14,74,weber-state,florida,82,6,,,
1998-1999,2,4,West,4,72,arkansas,iowa,82,5,,,
1998-1999,3,1,East,1,78,duke,southeast-missouri-state,61,12,,,
1998-1999,3,1,East,10,55,purdue,temple,77,6,,,
1998-1999,3,2,Midwest,1,54,michigan-state,oklahoma,46,13,,,
1998-1999,3,2,Midwest,10,43,miami-(oh),kentucky,58,3,,,
1998-1999,3,3,South,1,64,auburn,ohio-state,72,4,,,
1998-1999,3,3,South,2,62,maryland,st.-john's-(ny),76,3,,,
1998-1999,3,4,West,1,78,connecticut,iowa,68,5,,,
1998-1999,3,4,West,10,73,gonzaga,florida,72,6,,,
1998-1999,4,1,East,1,85,duke,temple,64,6,,,
1998-1999,4,2,Midwest,1,73,michigan-state,kentucky,66,3,,,
1998-1999,4,3,South,4,77,ohio-state,st.-john's-(ny),74,3,,,
1998-1999,4,4,West,1,67,connecticut,gonzaga,62,10,,,
1998-1999,5,1,Final Four,1,68,duke,michigan-state,62,1,,,
1998-1999,5,2,Final Four,4,58,ohio-state,connecticut,64,1,,,
1998-1999,6,1,Championship,1,74,duke,connecticut,77,1,,,
1999-2000,1,1,West,1,71,arizona,jackson-state,47,16,,,
1999-2000,1,1,West,2,61,st.-john's-(ny),northern-arizona,56,15,,,
1999-2000,1,1,West,3,74,oklahoma,winthrop,50,14,,,
1999-2000,1,1,West,4,64,louisiana-state,southeast-missouri-state,61,13,,,
1999-2000,1,1,West,5,77,texas,indiana-state,61,12,,,
1999-2000,1,1,West,6,62,purdue,dayton,61,11,,,
1999-2000,1,1,West,7,66,louisville,gonzaga,77,10,,,
1999-2000,1,1,West,8,66,wisconsin,fresno-state,56,9,,,
1999-2000,1,2,Midwest,1,65,michigan-state,valparaiso,38,16,,,
1999-2000,1,2,Midwest,2,88,iowa-state,central-connecticut-state,78,15,,,
1999-2000,1,2,Midwest,3,74,maryland,iona,59,14,,,
1999-2000,1,2,Midwest,4,79,syracuse,samford,65,13,,,
1999-2000,1,2,Midwest,5,85,kentucky,st.-bonaventure,80,12,,,
1999-2000,1,2,Midwest,6,65,ucla,ball-state,57,11,,,
1999-2000,1,2,Midwest,7,72,auburn,creighton,69,10,,,
1999-2000,1,2,Midwest,8,48,utah,saint-louis,45,9,,,
1999-2000,1,3,East,1,82,duke,lamar,55,16,,,
1999-2000,1,3,East,2,73,temple,lafayette,47,15,,,
1999-2000,1,3,East,3,86,oklahoma-state,hofstra,66,14,,,
1999-2000,1,3,East,4,68,illinois,pennsylvania,48,13,,,
1999-2000,1,3,East,5,69,florida,butler,68,12,,,
1999-2000,1,3,East,6,57,indiana,pepperdine,77,11,,,
1999-2000,1,3,East,7,71,oregon,seton-hall,72,10,,,
1999-2000,1,3,East,8,81,kansas,depaul,77,9,,,
1999-2000,1,4,South,1,84,stanford,south-carolina-state,65,16,,,
1999-2000,1,4,South,2,64,cincinnati,unc-wilmington,47,15,,,
1999-2000,1,4,South,3,87,ohio-state,appalachian-state,61,14,,,
1999-2000,1,4,South,4,63,tennessee,louisiana-lafayette,58,13,,,
1999-2000,1,4,South,5,75,connecticut,utah-state,67,12,,,
1999-2000,1,4,South,6,75,miami-(fl),arkansas,71,11,,,
1999-2000,1,4,South,7,89,tulsa,nevada-las-vegas,62,10,,,
1999-2000,1,4,South,8,84,north-carolina,missouri,70,9,,,
1999-2000,2,1,West,1,58,arizona,wisconsin,66,8,,,
1999-2000,2,1,West,2,76,st.-john's-(ny),gonzaga,82,10,,,
1999-2000,2,1,West,3,62,oklahoma,purdue,66,6,,,
1999-2000,2,1,West,4,72,louisiana-state,texas,67,5,,,
1999-2000,2,2,Midwest,1,73,michigan-state,utah,61,8,,,
1999-2000,2,2,Midwest,2,79,iowa-state,auburn,60,7,,,
1999-2000,2,2,Midwest,3,62,maryland,ucla,105,6,,,
1999-2000,2,2,Midwest,4,52,syracuse,kentucky,50,5,,,
1999-2000,2,3,East,1,69,duke,kansas,64,8,,,
1999-2000,2,3,East,2,65,temple,seton-hall,67,10,,,
1999-2000,2,3,East,3,75,oklahoma-state,pepperdine,67,11,,,
1999-2000,2,3,East,4,73,illinois,florida,93,5,,,
1999-2000,2,4,South,1,53,stanford,north-carolina,60,8,,,
1999-2000,2,4,South,2,61,cincinnati,tulsa,69,7,,,
1999-2000,2,4,South,3,62,ohio-state,miami-(fl),75,6,,,
1999-2000,2,4,South,4,65,tennessee,connecticut,51,5,,,
1999-2000,3,1,West,8,61,wisconsin,louisiana-state,48,4,,,
1999-2000,3,1,West,10,66,gonzaga,purdue,75,6,,,
1999-2000,3,2,Midwest,1,75,michigan-state,syracuse,58,4,,,
1999-2000,3,2,Midwest,2,80,iowa-state,ucla,56,6,,,
1999-2000,3,3,East,1,78,duke,florida,87,5,,,
1999-2000,3,3,East,10,66,seton-hall,oklahoma-state,68,3,,,
1999-2000,3,4,South,8,74,north-carolina,tennessee,69,4,,,
1999-2000,3,4,South,7,80,tulsa,miami-(fl),71,6,,,
1999-2000,4,1,West,8,64,wisconsin,purdue,60,6,,,
1999-2000,4,2,Midwest,1,75,michigan-state,iowa-state,64,2,,,
1999-2000,4,3,East,5,77,florida,oklahoma-state,65,3,,,
1999-2000,4,4,South,8,59,north-carolina,tulsa,55,7,,,
1999-2000,5,1,Final Four,8,41,wisconsin,michigan-state,53,1,,,
1999-2000,5,2,Final Four,5,71,florida,north-carolina,59,8,,,
1999-2000,6,1,Championship,1,89,michigan-state,florida,76,5,,,
2000-2001,1,1,Midwest,1,96,illinois,northwestern-state,54,16,,,
2000-2001,1,1,Midwest,2,101,arizona,eastern-illinois,76,15,,,
2000-2001,1,1,Midwest,3,72,mississippi,iona,70,14,,,
2000-2001,1,1,Midwest,4,99,kansas,cal-state-northridge,75,13,,,
2000-2001,1,1,Midwest,5,79,syracuse,hawaii,69,12,,,
2000-2001,1,1,Midwest,6,83,notre-dame,xavier,71,11,,,
2000-2001,1,1,Midwest,7,63,wake-forest,butler,79,10,,,
2000-2001,1,1,Midwest,8,63,tennessee,charlotte,70,9,,,
2000-2001,1,2,South,1,69,michigan-state,alabama-state,35,16,,,
2000-2001,1,2,South,2,70,north-carolina,princeton,48,15,,,
2000-2001,1,2,South,3,69,florida,western-kentucky,56,14,,,
2000-2001,1,2,South,4,68,oklahoma,indiana-state,70,13,,,
2000-2001,1,2,South,5,85,virginia,gonzaga,86,12,,,
2000-2001,1,2,South,6,65,texas,temple,79,11,,,
2000-2001,1,2,South,7,69,penn-state,providence,59,10,,,
2000-2001,1,2,South,8,70,california,fresno-state,82,9,,,
2000-2001,1,3,East,1,95,duke,monmouth,52,16,,,
2000-2001,1,3,East,2,72,kentucky,holy-cross,68,15,,,
2000-2001,1,3,East,3,68,boston-college,southern-utah,65,14,,,
2000-2001,1,3,East,4,61,ucla,hofstra,48,13,,,
2000-2001,1,3,East,5,68,ohio-state,utah-state,77,12,,,
2000-2001,1,3,East,6,69,southern-california,oklahoma-state,54,11,,,
2000-2001,1,3,East,7,69,iowa,creighton,56,10,,,
2000-2001,1,3,East,8,68,georgia,missouri,70,9,,,
2000-2001,1,4,West,1,89,stanford,unc-greensboro,60,16,,,
2000-2001,1,4,West,2,57,iowa-state,hampton,58,15,,,
2000-2001,1,4,West,3,83,maryland,george-mason,80,14,,,
2000-2001,1,4,West,4,73,indiana,kent-state,77,13,,,
2000-2001,1,4,West,5,84,cincinnati,brigham-young,59,12,,,
2000-2001,1,4,West,6,49,wisconsin,georgia-state,50,11,,,
2000-2001,1,4,West,7,61,arkansas,georgetown,63,10,,,
2000-2001,1,4,West,8,62,georgia-tech,saint-joseph's,66,9,,,
2000-2001,2,1,Midwest,1,79,illinois,charlotte,61,9,,,
2000-2001,2,1,Midwest,2,73,arizona,butler,52,10,,,
2000-2001,2,1,Midwest,3,59,mississippi,notre-dame,56,6,,,
2000-2001,2,1,Midwest,4,87,kansas,syracuse,58,5,,,
2000-2001,2,2,South,1,81,michigan-state,fresno-state,65,9,,,
2000-2001,2,2,South,2,74,north-carolina,penn-state,82,7,,,
2000-2001,2,2,South,3,54,florida,temple,75,11,,,
2000-2001,2,2,South,13,68,indiana-state,gonzaga,85,12,,,
2000-2001,2,3,East,1,94,duke,missouri,81,9,,,
2000-2001,2,3,East,2,92,kentucky,iowa,79,7,,,
2000-2001,2,3,East,3,71,boston-college,southern-california,74,6,,,
2000-2001,2,3,East,4,75,ucla,utah-state,50,12,,,
2000-2001,2,4,West,1,90,stanford,saint-joseph's,83,9,,,
2000-2001,2,4,West,15,57,hampton,georgetown,76,10,,,
2000-2001,2,4,West,3,79,maryland,georgia-state,60,11,,,
2000-2001,2,4,West,13,43,kent-state,cincinnati,66,5,,,
2000-2001,3,1,Midwest,1,80,illinois,kansas,64,4,,,
2000-2001,3,1,Midwest,2,66,arizona,mississippi,56,3,,,
2000-2001,3,2,South,1,77,michigan-state,gonzaga,62,12,,,
2000-2001,3,2,South,7,72,penn-state,temple,84,11,,,
2000-2001,3,3,East,1,76,duke,ucla,63,4,,,
2000-2001,3,3,East,2,76,kentucky,southern-california,80,6,,,
2000-2001,3,4,West,1,78,stanford,cincinnati,65,5,,,
2000-2001,3,4,West,10,66,georgetown,maryland,76,3,,,
2000-2001,4,1,Midwest,1,81,illinois,arizona,87,2,,,
2000-2001,4,2,South,1,69,michigan-state,temple,62,11,,,
2000-2001,4,3,East,1,79,duke,southern-california,69,6,,,
2000-2001,4,4,West,1,73,stanford,maryland,87,3,,,
2000-2001,5,1,Final Four,2,80,arizona,michigan-state,61,1,,,
2000-2001,5,2,Final Four,1,95,duke,maryland,84,3,,,
2000-2001,6,1,Championship,2,72,arizona,duke,82,1,,,
2001-2002,1,1,South,1,84,duke,winthrop,37,16,,,
2001-2002,1,1,South,2,86,alabama,florida-atlantic,78,15,,,
2001-2002,1,1,South,3,71,pittsburgh,central-connecticut-state,54,14,,,
2001-2002,1,1,South,4,89,southern-california,unc-wilmington,93,13,,,
2001-2002,1,1,South,5,75,indiana,utah,56,12,,,
2001-2002,1,1,South,6,82,california,pennsylvania,75,11,,,
2001-2002,1,1,South,7,61,oklahoma-state,kent-state,69,10,,,
2001-2002,1,1,South,8,82,notre-dame,charlotte,63,9,,,
2001-2002,1,2,West,1,90,cincinnati,boston-university,52,16,,,
2001-2002,1,2,West,2,71,oklahoma,illinois-chicago,63,15,,,
2001-2002,1,2,West,3,86,arizona,uc-santa-barbara,81,14,,,
2001-2002,1,2,West,4,69,ohio-state,davidson,64,13,,,
2001-2002,1,2,West,5,80,miami-(fl),missouri,93,12,,,
2001-2002,1,2,West,6,66,gonzaga,wyoming,73,11,,,
2001-2002,1,2,West,7,70,xavier,hawaii,58,10,,,
2001-2002,1,2,West,8,80,ucla,mississippi,58,9,,,
2001-2002,1,3,East,1,85,maryland,siena,70,16,,,
2001-2002,1,3,East,2,78,connecticut,hampton,67,15,,,
2001-2002,1,3,East,3,85,georgia,murray-state,68,14,,,
2001-2002,1,3,East,4,83,kentucky,valparaiso,68,13,,,
2001-2002,1,3,East,5,69,marquette,tulsa,71,12,,,
2001-2002,1,3,East,6,68,texas-tech,southern-illinois,76,11,,,
2001-2002,1,3,East,7,69,nc-state,michigan-state,58,10,,,
2001-2002,1,3,East,8,80,wisconsin,st.-john's-(ny),70,9,,,
2001-2002,1,4,Midwest,1,70,kansas,holy-cross,59,16,,,
2001-2002,1,4,Midwest,2,81,oregon,montana,62,15,,,
2001-2002,1,4,Midwest,3,70,mississippi-state,mcneese-state,58,14,,,
2001-2002,1,4,Midwest,4,93,illinois,san-diego-state,64,13,,,
2001-2002,1,4,Midwest,5,82,florida,creighton,83,12,,,
2001-2002,1,4,Midwest,6,70,texas,boston-college,57,11,,,
2001-2002,1,4,Midwest,7,83,wake-forest,pepperdine,74,10,,,
2001-2002,1,4,Midwest,8,84,stanford,western-kentucky,68,9,,,
2001-2002,2,1,South,1,84,duke,notre-dame,77,8,,,
2001-2002,2,1,South,2,58,alabama,kent-state,71,10,,,
2001-2002,2,1,South,3,63,pittsburgh,california,50,6,,,
2001-2002,2,1,South,13,67,unc-wilmington,indiana,76,5,,,
2001-2002,2,2,West,1,101,cincinnati,ucla,105,8,,,
2001-2002,2,2,West,2,78,oklahoma,xavier,65,7,,,
2001-2002,2,2,West,3,68,arizona,wyoming,60,11,,,
2001-2002,2,2,West,4,67,ohio-state,missouri,83,12,,,
2001-2002,2,3,East,1,87,maryland,wisconsin,57,8,,,
2001-2002,2,3,East,2,77,connecticut,nc-state,74,7,,,
2001-2002,2,3,East,3,75,georgia,southern-illinois,77,11,,,
2001-2002,2,3,East,4,87,kentucky,tulsa,82,12,,,
2001-2002,2,4,Midwest,1,86,kansas,stanford,63,8,,,
2001-2002,2,4,Midwest,2,92,oregon,wake-forest,87,7,,,
2001-2002,2,4,Midwest,3,64,mississippi-state,texas,68,6,,,
2001-2002,2,4,Midwest,4,72,illinois,creighton,60,12,,,
2001-2002,3,1,South,1,73,duke,indiana,74,5,,,
2001-2002,3,1,South,10,78,kent-state,pittsburgh,73,3,,,
2001-2002,3,2,West,8,73,ucla,missouri,82,12,,,
2001-2002,3,2,West,2,88,oklahoma,arizona,67,3,,,
2001-2002,3,3,East,1,78,maryland,kentucky,68,4,,,
2001-2002,3,3,East,2,71,connecticut,southern-illinois,59,11,,,
2001-2002,3,4,Midwest,1,73,kansas,illinois,69,4,,,
2001-2002,3,4,Midwest,2,72,oregon,texas,70,6,,,
2001-2002,4,1,South,5,81,indiana,kent-state,69,10,,,
2001-2002,4,2,West,12,75,missouri,oklahoma,81,2,,,
2001-2002,4,3,East,1,90,maryland,connecticut,82,2,,,
2001-2002,4,4,Midwest,1,104,kansas,oregon,86,2,,,
2001-2002,5,1,Final Four,5,73,indiana,oklahoma,64,2,,,
2001-2002,5,2,Final Four,1,97,maryland,kansas,88,1,,,
2001-2002,6,1,Championship,5,52,indiana,maryland,64,1,,,
2002-2003,1,1,Midwest,1,95,kentucky,iupui,64,16,,,
2002-2003,1,1,Midwest,2,87,pittsburgh,wagner,61,15,,,
2002-2003,1,1,Midwest,3,72,marquette,holy-cross,68,14,,,
2002-2003,1,1,Midwest,4,71,dayton,tulsa,84,13,,,
2002-2003,1,1,Midwest,5,81,wisconsin,weber-state,74,12,,,
2002-2003,1,1,Midwest,6,72,missouri,southern-illinois,71,11,,,
2002-2003,1,1,Midwest,7,67,indiana,alabama,62,10,,,
2002-2003,1,1,Midwest,8,58,oregon,utah,60,9,,,
2002-2003,1,2,West,1,80,arizona,vermont,51,16,,,
2002-2003,1,2,West,2,64,kansas,utah-state,61,15,,,
2002-2003,1,2,West,3,67,duke,colorado-state,57,14,,,
2002-2003,1,2,West,4,65,illinois,western-kentucky,60,13,,,
2002-2003,1,2,West,5,70,notre-dame,milwaukee,69,12,,,
2002-2003,1,2,West,6,73,creighton,central-michigan,79,11,,,
2002-2003,1,2,West,7,71,memphis,arizona-state,84,10,,,
2002-2003,1,2,West,8,69,cincinnati,gonzaga,74,9,,,
2002-2003,1,3,South,1,82,texas,unc-asheville,61,16,,,
2002-2003,1,3,South,2,85,florida,sam-houston-state,55,15,,,
2002-2003,1,3,South,3,71,xavier,troy,59,14,,,
2002-2003,1,3,South,4,77,stanford,san-diego,69,13,,,
2002-2003,1,3,South,5,58,connecticut,brigham-young,53,12,,,
2002-2003,1,3,South,6,75,maryland,unc-wilmington,73,11,,,
2002-2003,1,3,South,7,79,michigan-state,colorado,64,10,,,
2002-2003,1,3,South,8,56,louisiana-state,purdue,80,9,,,
2002-2003,1,4,East,1,71,oklahoma,south-carolina-state,54,16,,,
2002-2003,1,4,East,2,76,wake-forest,east-tennessee-state,73,15,,,
2002-2003,1,4,East,3,76,syracuse,manhattan,65,14,,,
2002-2003,1,4,East,4,86,louisville,austin-peay,64,13,,,
2002-2003,1,4,East,5,46,mississippi-state,butler,47,12,,,
2002-2003,1,4,East,6,77,oklahoma-state,pennsylvania,63,11,,,
2002-2003,1,4,East,7,63,saint-joseph's,auburn,65,10,,,
2002-2003,1,4,East,8,76,california,nc-state,74,9,,,
2002-2003,2,1,Midwest,1,74,kentucky,utah,54,9,,,
2002-2003,2,1,Midwest,2,74,pittsburgh,indiana,52,7,,,
2002-2003,2,1,Midwest,3,101,marquette,missouri,92,6,,,
2002-2003,2,1,Midwest,13,60,tulsa,wisconsin,61,5,,,
2002-2003,2,2,West,1,96,arizona,gonzaga,95,9,,,
2002-2003,2,2,West,2,108,kansas,arizona-state,76,10,,,
2002-2003,2,2,West,3,86,duke,central-michigan,60,11,,,
2002-2003,2,2,West,4,60,illinois,notre-dame,68,5,,,
2002-2003,2,3,South,1,77,texas,purdue,67,9,,,
2002-2003,2,3,South,2,46,florida,michigan-state,68,7,,,
2002-2003,2,3,South,3,64,xavier,maryland,77,6,,,
2002-2003,2,3,South,4,74,stanford,connecticut,85,5,,,
2002-2003,2,4,East,1,74,oklahoma,california,65,8,,,
2002-2003,2,4,East,2,62,wake-forest,auburn,68,10,,,
2002-2003,2,4,East,3,68,syracuse,oklahoma-state,56,6,,,
2002-2003,2,4,East,4,71,louisville,butler,79,12,,,
2002-2003,3,1,Midwest,1,63,kentucky,wisconsin,57,5,,,
2002-2003,3,1,Midwest,2,74,pittsburgh,marquette,77,3,,,
2002-2003,3,2,West,1,88,arizona,notre-dame,71,5,,,
2002-2003,3,2,West,2,69,kansas,duke,65,3,,,
2002-2003,3,3,South,1,82,texas,connecticut,78,5,,,
2002-2003,3,3,South,7,60,michigan-state,maryland,58,6,,,
2002-2003,3,4,East,1,65,oklahoma,butler,54,12,,,
2002-2003,3,4,East,10,78,auburn,syracuse,79,3,,,
2002-2003,4,1,Midwest,1,69,kentucky,marquette,83,3,,,
2002-2003,4,2,West,1,75,arizona,kansas,78,2,,,
2002-2003,4,3,South,1,85,texas,michigan-state,76,7,,,
2002-2003,4,4,East,1,47,oklahoma,syracuse,63,3,,,
2002-2003,5,1,Final Four,3,61,marquette,kansas,94,2,,,
2002-2003,5,2,Final Four,1,84,texas,syracuse,95,3,,,
2002-2003,6,1,Championship,2,78,kansas,syracuse,81,3,,,
2003-2004,1,1,Midwest,1,96,kentucky,florida-a&m,76,16,,,
2003-2004,1,1,Midwest,2,76,gonzaga,valparaiso,49,15,,,
2003-2004,1,1,Midwest,3,65,georgia-tech,northern-iowa,60,14,,,
2003-2004,1,1,Midwest,4,78,kansas,illinois-chicago,53,13,,,
2003-2004,1,1,Midwest,5,58,providence,pacific,66,12,,,
2003-2004,1,1,Midwest,6,58,boston-college,utah,51,11,,,
2003-2004,1,1,Midwest,7,66,michigan-state,nevada,72,10,,,
2003-2004,1,1,Midwest,8,100,washington,uab,102,9,,,
2003-2004,1,2,East,1,82,saint-joseph's,liberty,63,16,,,
2003-2004,1,2,East,2,75,oklahoma-state,eastern-washington,56,15,,,
2003-2004,1,2,East,3,53,pittsburgh,central-florida,44,14,,,
2003-2004,1,2,East,4,79,wake-forest,virginia-commonwealth,78,13,,,
2003-2004,1,2,East,5,60,florida,manhattan,75,12,,,
2003-2004,1,2,East,6,76,wisconsin,richmond,64,11,,,
2003-2004,1,2,East,7,59,memphis,south-carolina,43,10,,,
2003-2004,1,2,East,8,76,texas-tech,charlotte,73,9,,,
2003-2004,1,3,South,1,96,duke,alabama-state,61,16,,,
2003-2004,1,3,South,2,85,mississippi-state,monmouth,52,15,,,
2003-2004,1,3,South,3,66,texas,princeton,49,14,,,
2003-2004,1,3,South,4,80,cincinnati,east-tennessee-state,77,13,,,
2003-2004,1,3,South,5,72,illinois,murray-state,53,12,,,
2003-2004,1,3,South,6,63,north-carolina,air-force,52,11,,,
2003-2004,1,3,South,7,80,xavier,louisville,70,10,,,
2003-2004,1,3,South,8,80,seton-hall,arizona,76,9,,,
2003-2004,1,4,West,1,71,stanford,utsa,45,16,,,
2003-2004,1,4,West,2,70,connecticut,vermont,53,15,,,
2003-2004,1,4,West,3,61,nc-state,louisiana-lafayette,52,14,,,
2003-2004,1,4,West,4,86,maryland,utep,83,13,,,
2003-2004,1,4,West,5,80,syracuse,brigham-young,75,12,,,
2003-2004,1,4,West,6,71,vanderbilt,western-michigan,58,11,,,
2003-2004,1,4,West,7,76,depaul,dayton,69,10,,,
2003-2004,1,4,West,8,65,alabama,southern-illinois,64,9,,,
2003-2004,2,1,Midwest,1,75,kentucky,uab,76,9,,,
2003-2004,2,1,Midwest,2,72,gonzaga,nevada,91,10,,,
2003-2004,2,1,Midwest,3,57,georgia-tech,boston-college,54,6,,,
2003-2004,2,1,Midwest,4,78,kansas,pacific,63,12,,,
2003-2004,2,2,East,1,70,saint-joseph's,texas-tech,65,8,,,
2003-2004,2,2,East,2,70,oklahoma-state,memphis,53,7,,,
2003-2004,2,2,East,3,59,pittsburgh,wisconsin,55,6,,,
2003-2004,2,2,East,4,84,wake-forest,manhattan,80,12,,,
2003-2004,2,3,South,1,90,duke,seton-hall,62,8,,,
2003-2004,2,3,South,2,74,mississippi-state,xavier,89,7,,,
2003-2004,2,3,South,3,78,texas,north-carolina,75,6,,,
2003-2004,2,3,South,4,68,cincinnati,illinois,92,5,,,
2003-2004,2,4,West,1,67,stanford,alabama,70,8,,,
2003-2004,2,4,West,2,72,connecticut,depaul,55,7,,,
2003-2004,2,4,West,3,73,nc-state,vanderbilt,75,6,,,
2003-2004,2,4,West,4,70,maryland,syracuse,72,5,,,
2003-2004,3,1,Midwest,9,74,uab,kansas,100,4,,,
2003-2004,3,1,Midwest,10,67,nevada,georgia-tech,72,3,,,
2003-2004,3,2,East,1,84,saint-joseph's,wake-forest,80,4,,,
2003-2004,3,2,East,2,63,oklahoma-state,pittsburgh,51,3,,,
2003-2004,3,3,South,1,72,duke,illinois,62,5,,,
2003-2004,3,3,South,7,79,xavier,texas,71,3,,,
2003-2004,3,4,West,8,80,alabama,syracuse,71,5,,,
2003-2004,3,4,West,2,73,connecticut,vanderbilt,53,6,,,
2003-2004,4,1,Midwest,4,71,kansas,georgia-tech,79,3,,,
2003-2004,4,2,East,1,62,saint-joseph's,oklahoma-state,64,2,,,
2003-2004,4,3,South,1,66,duke,xavier,63,7,,,
2003-2004,4,4,West,8,71,alabama,connecticut,87,2,,,
2003-2004,5,1,Final Four,3,67,georgia-tech,oklahoma-state,65,2,,,
2003-2004,5,2,Final Four,1,78,duke,connecticut,79,2,,,
2003-2004,6,1,Championship,3,73,georgia-tech,connecticut,82,2,,,
2004-2005,1,1,Midwest,1,67,illinois,fairleigh-dickinson,55,16,,,
2004-2005,1,1,Midwest,2,63,oklahoma-state,southeastern-louisiana,50,15,,,
2004-2005,1,1,Midwest,3,66,arizona,utah-state,53,14,,,
2004-2005,1,1,Midwest,4,85,boston-college,pennsylvania,65,13,,,
2004-2005,1,1,Midwest,5,73,alabama,milwaukee,83,12,,,
2004-2005,1,1,Midwest,6,68,louisiana-state,uab,82,11,,,
2004-2005,1,1,Midwest,7,65,southern-illinois,saint-mary's-(ca),56,10,,,
2004-2005,1,1,Midwest,8,57,texas,nevada,61,9,,,
2004-2005,1,2,West,1,88,washington,montana,77,16,,,
2004-2005,1,2,West,2,70,wake-forest,chattanooga,54,15,,,
2004-2005,1,2,West,3,74,gonzaga,winthrop,64,14,,,
2004-2005,1,2,West,4,68,louisville,louisiana-lafayette,62,13,,,
2004-2005,1,2,West,5,80,georgia-tech,george-washington,68,12,,,
2004-2005,1,2,West,6,78,texas-tech,ucla,66,11,,,
2004-2005,1,2,West,7,63,west-virginia,creighton,61,10,,,
2004-2005,1,2,West,8,79,pacific,pittsburgh,71,9,,,
2004-2005,1,3,East,1,96,north-carolina,oakland,68,16,,,
2004-2005,1,3,East,2,77,connecticut,central-florida,71,15,,,
2004-2005,1,3,East,3,63,kansas,bucknell,64,14,,,
2004-2005,1,3,East,4,67,florida,ohio,62,13,,,
2004-2005,1,3,East,5,55,villanova,new-mexico,47,12,,,
2004-2005,1,3,East,6,57,wisconsin,northern-iowa,52,11,,,
2004-2005,1,3,East,7,63,charlotte,nc-state,75,10,,,
2004-2005,1,3,East,8,53,minnesota,iowa-state,64,9,,,
2004-2005,1,4,South,1,63,duke,delaware-state,46,16,,,
2004-2005,1,4,South,2,72,kentucky,eastern-kentucky,64,15,,,
2004-2005,1,4,South,3,84,oklahoma,niagara,67,14,,,
2004-2005,1,4,South,4,57,syracuse,vermont,60,13,,,
2004-2005,1,4,South,5,89,michigan-state,old-dominion,81,12,,,
2004-2005,1,4,South,6,60,utah,utep,54,11,,,
2004-2005,1,4,South,7,76,cincinnati,iowa,64,10,,,
2004-2005,1,4,South,8,70,stanford,mississippi-state,93,9,,,
2004-2005,2,1,Midwest,1,71,illinois,nevada,59,9,,,
2004-2005,2,1,Midwest,2,85,oklahoma-state,southern-illinois,77,7,,,
2004-2005,2,1,Midwest,3,85,arizona,uab,63,11,,,
2004-2005,2,1,Midwest,4,75,boston-college,milwaukee,83,12,,,
2004-2005,2,2,West,1,97,washington,pacific,79,8,,,
2004-2005,2,2,West,2,105,wake-forest,west-virginia,111,7,,,
2004-2005,2,2,West,3,69,gonzaga,texas-tech,71,6,,,
2004-2005,2,2,West,4,76,louisville,georgia-tech,54,5,,,
2004-2005,2,3,East,1,92,north-carolina,iowa-state,65,9,,,
2004-2005,2,3,East,2,62,connecticut,nc-state,65,10,,,
2004-2005,2,3,East,14,62,bucknell,wisconsin,71,6,,,
2004-2005,2,3,East,4,65,florida,villanova,76,5,,,
2004-2005,2,4,South,1,63,duke,mississippi-state,55,9,,,
2004-2005,2,4,South,2,69,kentucky,cincinnati,60,7,,,
2004-2005,2,4,South,3,58,oklahoma,utah,67,6,,,
2004-2005,2,4,South,13,61,vermont,michigan-state,72,5,,,
2004-2005,3,1,Midwest,1,77,illinois,milwaukee,63,12,,,
